"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATACOMM","BL","03-Nov-2022","1,150.80","1,269.85","1,269.85","1,269.85","1,269.85","1,269.85","1,269.85","1,29,696","16,46,94,465.60","1","-","-"
"TATACOMM","EQ","03-Nov-2022","1,269.85","1,232.00","1,279.70","1,232.00","1,269.95","1,269.95","1,268.56","3,08,442","39,12,76,439.50","17,079","1,20,109","38.94"
"TATACOMM","EQ","04-Nov-2022","1,269.95","1,269.95","1,298.00","1,267.75","1,292.00","1,294.05","1,286.64","4,39,193","56,50,84,867.90","22,263","1,98,477","45.19"
"TATACOMM","EQ","07-Nov-2022","1,294.05","1,300.00","1,309.00","1,292.00","1,307.00","1,302.50","1,298.72","4,17,444","54,21,44,210.05","24,593","2,00,477","48.02"
"TATACOMM","EQ","09-Nov-2022","1,302.50","1,312.75","1,342.50","1,305.75","1,320.70","1,321.95","1,328.18","10,23,689","1,35,96,47,650.75","40,754","2,85,444","27.88"
"TATACOMM","EQ","10-Nov-2022","1,321.95","1,320.65","1,325.40","1,305.00","1,312.00","1,314.15","1,313.84","3,89,144","51,12,72,971.25","23,676","1,41,113","36.26"
"TATACOMM","EQ","11-Nov-2022","1,314.15","1,328.00","1,347.50","1,306.30","1,311.95","1,313.85","1,328.53","6,22,358","82,68,19,784.55","28,577","1,87,571","30.14"
"TATACOMM","BL","14-Nov-2022","1,269.85","1,313.85","1,313.85","1,313.85","1,313.85","1,313.85","1,313.85","1,29,695","17,03,99,775.75","1","-","-"
"TATACOMM","EQ","14-Nov-2022","1,313.85","1,314.55","1,325.00","1,287.00","1,320.00","1,320.80","1,309.68","3,34,116","43,75,85,474.90","22,235","1,17,093","35.05"
"TATACOMM","EQ","15-Nov-2022","1,320.80","1,314.15","1,335.95","1,310.05","1,328.80","1,333.30","1,328.12","3,21,614","42,71,40,620.35","17,666","1,47,547","45.88"
"TATACOMM","EQ","16-Nov-2022","1,333.30","1,328.00","1,338.00","1,297.45","1,309.00","1,306.80","1,313.49","3,23,056","42,43,31,176.70","15,229","1,49,917","46.41"
"TATACOMM","EQ","17-Nov-2022","1,306.80","1,304.00","1,309.00","1,288.00","1,306.00","1,303.80","1,299.78","1,81,492","23,58,99,123.15","11,022","62,662","34.53"
"TATACOMM","EQ","18-Nov-2022","1,303.80","1,312.25","1,321.80","1,280.00","1,295.70","1,292.55","1,299.25","3,13,416","40,72,05,620.55","17,942","93,060","29.69"
"TATACOMM","EQ","21-Nov-2022","1,292.55","1,255.00","1,298.40","1,255.00","1,286.10","1,289.25","1,284.93","1,89,200","24,31,08,666.50","11,083","64,218","33.94"
"TATACOMM","EQ","22-Nov-2022","1,289.25","1,286.50","1,303.50","1,284.90","1,290.00","1,290.90","1,292.85","1,41,938","18,35,04,819.25","10,832","51,993","36.63"
"TATACOMM","EQ","23-Nov-2022","1,290.90","1,290.90","1,307.00","1,285.00","1,291.30","1,293.25","1,297.10","1,75,703","22,79,04,959.65","9,222","66,172","37.66"
"TATACOMM","EQ","24-Nov-2022","1,293.25","1,293.25","1,301.05","1,278.50","1,288.00","1,287.50","1,287.79","1,77,117","22,80,90,079.20","7,542","59,916","33.83"
"TATACOMM","EQ","25-Nov-2022","1,287.50","1,289.00","1,303.70","1,280.80","1,292.15","1,296.15","1,291.89","2,68,507","34,68,81,282.40","9,946","1,25,458","46.72"
"TATACOMM","EQ","28-Nov-2022","1,296.15","1,292.15","1,324.45","1,290.35","1,309.60","1,309.40","1,310.36","5,45,982","71,54,31,717.15","17,768","2,68,556","49.19"
"TATACOMM","EQ","29-Nov-2022","1,309.40","1,314.00","1,319.40","1,271.00","1,275.00","1,274.20","1,288.96","5,25,462","67,73,01,224.60","19,458","3,22,538","61.38"
"TATACOMM","EQ","30-Nov-2022","1,274.20","1,280.60","1,315.00","1,251.00","1,309.90","1,300.20","1,275.30","6,54,220","83,43,28,694.50","26,126","3,30,791","50.56"
"TATACOMM","EQ","01-Dec-2022","1,300.20","1,305.50","1,315.00","1,290.00","1,299.00","1,297.90","1,302.90","2,34,094","30,50,00,147.80","15,232","98,587","42.11"
"TATACOMM","EQ","02-Dec-2022","1,297.90","1,293.00","1,339.90","1,290.00","1,320.00","1,321.55","1,324.62","8,47,039","1,12,20,05,467.55","36,902","3,00,769","35.51"
"TATACOMM","EQ","05-Dec-2022","1,321.55","1,331.90","1,354.45","1,318.40","1,319.50","1,323.10","1,336.12","8,49,892","1,13,55,60,560.10","29,709","3,96,602","46.66"
"TATACOMM","EQ","06-Dec-2022","1,323.10","1,320.40","1,333.85","1,287.20","1,293.00","1,292.80","1,300.75","3,86,340","50,25,31,912.50","22,765","1,73,604","44.94"
"TATACOMM","EQ","07-Dec-2022","1,292.80","1,295.00","1,296.00","1,262.80","1,271.00","1,268.25","1,275.90","3,47,239","44,30,40,906.45","19,270","1,45,980","42.04"
"TATACOMM","EQ","08-Dec-2022","1,268.25","1,275.00","1,288.45","1,270.55","1,285.40","1,286.15","1,281.17","2,41,863","30,98,66,794.30","13,952","95,155","39.34"
"TATACOMM","EQ","09-Dec-2022","1,286.15","1,290.00","1,297.55","1,256.90","1,275.05","1,268.65","1,276.19","2,02,907","25,89,48,073.65","12,193","81,292","40.06"
"TATACOMM","EQ","12-Dec-2022","1,268.65","1,260.00","1,281.35","1,257.15","1,276.45","1,277.25","1,271.77","1,50,634","19,15,72,066.95","8,466","51,861","34.43"
"TATACOMM","EQ","13-Dec-2022","1,277.25","1,282.00","1,387.00","1,280.00","1,367.05","1,367.45","1,358.09","34,37,569","4,66,85,20,189.80","97,922","8,07,481","23.49"
"TATACOMM","EQ","14-Dec-2022","1,367.45","1,370.00","1,379.95","1,350.65","1,358.75","1,359.55","1,360.02","9,54,600","1,29,82,73,830.05","38,920","1,79,757","18.83"
"TATACOMM","EQ","15-Dec-2022","1,359.55","1,359.50","1,366.70","1,304.30","1,314.00","1,312.75","1,330.65","7,69,451","1,02,38,67,762.55","30,280","2,08,085","27.04"
"TATACOMM","EQ","16-Dec-2022","1,312.75","1,312.75","1,318.75","1,280.10","1,297.80","1,303.00","1,301.49","6,50,205","84,62,34,475.25","28,924","1,49,015","22.92"
"TATACOMM","EQ","19-Dec-2022","1,303.00","1,304.00","1,323.00","1,285.00","1,314.95","1,313.90","1,299.75","7,13,601","92,75,00,666.65","37,872","66,696","9.35"
"TATACOMM","EQ","20-Dec-2022","1,313.90","1,313.00","1,313.80","1,286.40","1,300.00","1,302.85","1,298.34","4,58,677","59,55,20,517.75","24,329","1,25,366","27.33"
"TATACOMM","EQ","21-Dec-2022","1,302.85","1,304.95","1,315.15","1,262.00","1,274.00","1,270.95","1,282.76","5,99,398","76,88,84,455.50","25,275","2,94,716","49.17"
"TATACOMM","EQ","22-Dec-2022","1,270.95","1,286.00","1,298.00","1,250.15","1,261.40","1,265.55","1,267.21","6,08,629","77,12,62,659.05","24,649","1,32,304","21.74"
"TATACOMM","EQ","23-Dec-2022","1,265.55","1,258.05","1,262.40","1,186.20","1,209.00","1,209.85","1,213.81","9,37,987","1,13,85,38,350.00","35,177","3,77,788","40.28"
"TATACOMM","EQ","26-Dec-2022","1,209.85","1,210.00","1,250.90","1,207.25","1,240.15","1,244.30","1,231.83","4,24,039","52,23,45,113.10","19,252","1,73,512","40.92"
"TATACOMM","EQ","27-Dec-2022","1,244.30","1,250.00","1,285.00","1,247.50","1,273.10","1,270.95","1,273.87","8,04,491","1,02,48,13,617.00","25,029","2,92,613","36.37"
"TATACOMM","EQ","28-Dec-2022","1,270.95","1,272.00","1,274.90","1,250.00","1,254.00","1,254.40","1,261.25","4,84,479","61,10,47,446.45","13,220","2,83,211","58.46"
"TATACOMM","EQ","29-Dec-2022","1,254.40","1,254.40","1,272.75","1,241.15","1,258.25","1,259.60","1,251.96","3,28,518","41,12,92,512.50","17,732","1,34,334","40.89"
"TATACOMM","EQ","30-Dec-2022","1,259.60","1,265.90","1,285.00","1,264.10","1,270.00","1,274.45","1,274.20","2,50,586","31,92,95,695.15","11,539","58,418","23.31"
"TATACOMM","EQ","02-Jan-2023","1,274.45","1,308.00","1,331.95","1,286.15","1,315.00","1,317.55","1,310.70","16,82,597","2,20,53,84,152.75","54,931","5,69,857","33.87"
"TATACOMM","EQ","03-Jan-2023","1,317.55","1,315.00","1,351.00","1,315.00","1,338.90","1,336.10","1,338.64","10,68,908","1,43,08,84,061.15","29,478","4,22,136","39.49"
"TATACOMM","EQ","04-Jan-2023","1,336.10","1,342.95","1,347.45","1,323.60","1,330.00","1,333.55","1,334.47","6,05,578","80,81,26,543.90","28,295","2,55,039","42.11"
"TATACOMM","EQ","05-Jan-2023","1,333.55","1,339.75","1,339.75","1,318.00","1,325.00","1,326.60","1,327.20","4,21,447","55,93,46,410.90","23,209","2,04,522","48.53"
"TATACOMM","EQ","06-Jan-2023","1,326.60","1,326.60","1,344.00","1,318.90","1,324.35","1,326.60","1,333.26","4,95,657","66,08,38,370.85","18,870","2,57,908","52.03"
"TATACOMM","EQ","09-Jan-2023","1,326.60","1,341.20","1,353.00","1,327.60","1,348.05","1,348.10","1,341.59","5,02,449","67,40,82,607.45","28,047","2,71,089","53.95"
"TATACOMM","EQ","10-Jan-2023","1,348.10","1,348.05","1,374.00","1,342.50","1,359.00","1,360.15","1,362.19","9,66,180","1,31,61,17,707.95","33,160","3,77,006","39.02"
"TATACOMM","EQ","11-Jan-2023","1,360.15","1,367.80","1,422.65","1,362.00","1,422.65","1,417.25","1,391.35","17,62,623","2,45,24,19,311.65","46,847","7,86,948","44.65"
"TATACOMM","EQ","12-Jan-2023","1,417.25","1,430.00","1,430.60","1,390.00","1,393.80","1,396.70","1,406.07","11,53,415","1,62,17,82,642.70","40,308","3,91,247","33.92"
"TATACOMM","EQ","13-Jan-2023","1,396.70","1,389.95","1,399.70","1,371.00","1,375.00","1,376.70","1,380.28","5,20,001","71,77,46,014.45","20,743","2,64,950","50.95"
"TATACOMM","EQ","16-Jan-2023","1,376.70","1,375.00","1,390.00","1,363.60","1,370.00","1,367.20","1,373.04","2,50,009","34,32,72,470.95","13,912","79,534","31.81"
"TATACOMM","EQ","17-Jan-2023","1,367.20","1,370.05","1,403.00","1,364.05","1,398.10","1,397.65","1,380.97","7,24,473","1,00,04,77,236.75","29,495","2,14,973","29.67"
"TATACOMM","EQ","18-Jan-2023","1,397.65","1,402.50","1,405.00","1,386.05","1,386.05","1,388.10","1,396.18","3,97,384","55,48,18,672.10","15,476","1,51,431","38.11"
"TATACOMM","EQ","19-Jan-2023","1,388.10","1,379.00","1,384.00","1,360.45","1,368.00","1,371.10","1,372.00","3,78,360","51,91,11,537.00","15,487","1,20,601","31.87"
"TATACOMM","EQ","20-Jan-2023","1,371.10","1,368.00","1,374.95","1,339.00","1,344.00","1,346.00","1,356.85","3,35,914","45,57,83,762.55","16,242","1,28,687","38.31"
"TATACOMM","EQ","23-Jan-2023","1,346.00","1,353.00","1,387.75","1,345.20","1,380.00","1,383.70","1,376.04","5,20,873","71,67,41,075.80","19,166","1,99,980","38.39"
"TATACOMM","EQ","24-Jan-2023","1,383.70","1,369.45","1,369.45","1,316.25","1,319.60","1,324.60","1,331.91","12,82,825","1,70,86,04,148.05","45,004","3,29,071","25.65"
"TATACOMM","EQ","25-Jan-2023","1,324.60","1,319.65","1,323.95","1,275.35","1,284.80","1,284.75","1,294.72","5,36,238","69,42,78,447.70","27,718","1,84,084","34.33"
"TATACOMM","EQ","27-Jan-2023","1,284.75","1,294.45","1,296.65","1,223.30","1,257.60","1,255.40","1,253.51","4,33,530","54,34,35,023.35","27,912","1,56,996","36.21"
"TATACOMM","EQ","30-Jan-2023","1,255.40","1,255.45","1,272.45","1,223.10","1,237.45","1,233.70","1,241.17","4,19,670","52,08,82,536.35","30,024","1,64,845","39.28"
"TATACOMM","EQ","31-Jan-2023","1,233.70","1,239.05","1,253.25","1,215.55","1,236.00","1,233.15","1,233.41","6,67,441","82,32,26,758.85","38,295","3,64,702","54.64"
"TATACOMM","EQ","01-Feb-2023","1,233.15","1,248.00","1,252.55","1,178.10","1,200.00","1,202.45","1,223.94","7,00,831","85,77,75,751.15","38,314","3,32,469","47.44"
"TATACOMM","EQ","02-Feb-2023","1,202.45","1,202.45","1,240.10","1,191.00","1,216.00","1,213.80","1,219.86","4,47,078","54,53,73,287.90","26,997","1,55,567","34.80"
"TATACOMM","EQ","03-Feb-2023","1,213.80","1,226.60","1,233.90","1,197.00","1,224.05","1,226.50","1,217.17","3,07,741","37,45,72,679.35","21,794","85,122","27.66"
"TATACOMM","EQ","06-Feb-2023","1,226.50","1,226.65","1,265.45","1,226.50","1,254.00","1,258.05","1,248.23","4,49,222","56,07,32,304.90","19,406","1,67,460","37.28"
"TATACOMM","EQ","07-Feb-2023","1,258.05","1,266.00","1,266.65","1,230.00","1,234.00","1,233.55","1,242.82","4,16,429","51,75,47,184.15","18,722","1,49,896","36.00"
"TATACOMM","EQ","08-Feb-2023","1,233.55","1,235.95","1,249.50","1,228.60","1,246.00","1,244.70","1,240.31","1,98,248","24,58,88,256.65","10,568","78,861","39.78"
"TATACOMM","EQ","09-Feb-2023","1,244.70","1,240.00","1,250.00","1,232.55","1,234.15","1,234.50","1,238.10","1,21,016","14,98,29,343.45","7,800","35,155","29.05"
"TATACOMM","EQ","10-Feb-2023","1,234.50","1,230.00","1,247.80","1,226.10","1,232.00","1,233.20","1,236.06","1,70,808","21,11,29,374.85","10,624","49,034","28.71"
"TATACOMM","EQ","13-Feb-2023","1,233.20","1,232.00","1,246.00","1,219.20","1,219.20","1,221.90","1,229.80","1,59,507","19,61,62,139.15","9,978","44,950","28.18"
"TATACOMM","EQ","14-Feb-2023","1,221.90","1,222.50","1,244.50","1,213.35","1,238.00","1,237.90","1,228.85","1,86,711","22,94,40,686.10","10,812","79,623","42.65"
"TATACOMM","EQ","15-Feb-2023","1,237.90","1,237.00","1,248.95","1,232.55","1,246.00","1,245.45","1,240.40","1,31,612","16,32,51,681.25","8,819","47,328","35.96"
"TATACOMM","EQ","16-Feb-2023","1,245.45","1,246.00","1,262.00","1,240.15","1,250.00","1,254.55","1,255.91","2,45,136","30,78,68,849.70","12,436","79,272","32.34"
"TATACOMM","EQ","17-Feb-2023","1,254.55","1,245.05","1,254.00","1,235.55","1,240.80","1,240.25","1,243.77","1,41,916","17,65,11,262.15","7,594","40,960","28.86"
"TATACOMM","EQ","20-Feb-2023","1,240.25","1,240.25","1,258.00","1,230.00","1,237.00","1,238.25","1,248.40","2,36,553","29,53,13,724.15","12,424","90,203","38.13"
"TATACOMM","EQ","21-Feb-2023","1,238.25","1,236.05","1,252.30","1,228.00","1,230.50","1,230.45","1,237.53","1,49,283","18,47,41,734.70","9,546","47,018","31.50"
"TATACOMM","EQ","22-Feb-2023","1,230.45","1,228.05","1,228.05","1,211.25","1,220.30","1,220.55","1,219.59","1,83,558","22,38,65,264.60","10,734","58,470","31.85"
"TATACOMM","EQ","23-Feb-2023","1,220.55","1,218.95","1,227.00","1,201.10","1,205.00","1,205.45","1,209.26","1,67,369","20,23,93,275.85","9,383","50,759","30.33"
"TATACOMM","EQ","24-Feb-2023","1,205.45","1,211.80","1,216.00","1,200.60","1,200.60","1,202.55","1,206.58","1,22,675","14,80,16,899.20","7,931","42,335","34.51"
"TATACOMM","EQ","27-Feb-2023","1,202.55","1,201.00","1,201.00","1,176.15","1,184.00","1,183.95","1,184.74","2,07,103","24,53,62,388.85","14,334","83,514","40.32"
"TATACOMM","EQ","28-Feb-2023","1,183.95","1,187.95","1,214.95","1,184.00","1,206.60","1,208.55","1,203.46","4,68,191","56,34,50,063.95","16,498","2,16,604","46.26"
"TATACOMM","EQ","01-Mar-2023","1,208.55","1,208.00","1,216.85","1,202.20","1,209.85","1,206.15","1,207.10","1,48,166","17,88,50,970.10","8,923","40,403","27.27"
"TATACOMM","EQ","02-Mar-2023","1,206.15","1,209.05","1,212.00","1,194.00","1,202.45","1,201.35","1,202.15","2,57,579","30,96,48,092.55","17,091","1,14,881","44.60"
"TATACOMM","EQ","03-Mar-2023","1,201.35","1,203.20","1,213.20","1,196.00","1,197.00","1,198.40","1,201.60","2,79,571","33,59,32,159.70","13,367","1,30,228","46.58"
"TATACOMM","EQ","06-Mar-2023","1,198.40","1,205.00","1,224.65","1,205.00","1,210.40","1,211.45","1,214.30","1,73,575","21,07,71,262.15","10,403","54,185","31.22"
"TATACOMM","EQ","08-Mar-2023","1,211.45","1,209.95","1,223.85","1,197.00","1,214.50","1,214.20","1,211.64","1,85,432","22,46,76,512.45","11,823","73,039","39.39"
"TATACOMM","EQ","09-Mar-2023","1,214.20","1,220.25","1,236.85","1,209.80","1,218.00","1,215.10","1,225.36","3,95,605","48,47,57,083.45","18,662","1,49,808","37.87"
"TATACOMM","EQ","10-Mar-2023","1,215.10","1,211.00","1,211.00","1,194.35","1,202.00","1,201.90","1,200.87","1,35,642","16,28,88,742.55","11,484","48,048","35.42"
"TATACOMM","EQ","13-Mar-2023","1,201.90","1,201.00","1,205.65","1,170.00","1,177.15","1,177.10","1,187.46","1,95,613","23,22,83,455.25","15,477","64,283","32.86"
"TATACOMM","EQ","14-Mar-2023","1,177.10","1,177.15","1,184.25","1,164.55","1,177.40","1,176.95","1,175.55","1,77,237","20,83,50,222.70","9,777","81,055","45.73"
"TATACOMM","EQ","15-Mar-2023","1,176.95","1,187.00","1,195.40","1,171.30","1,178.50","1,177.25","1,184.01","1,32,934","15,73,95,202.35","9,783","47,877","36.02"
"TATACOMM","EQ","16-Mar-2023","1,177.25","1,183.00","1,186.55","1,156.80","1,176.45","1,177.20","1,173.35","1,89,152","22,19,42,340.70","11,710","66,671","35.25"
"TATACOMM","EQ","17-Mar-2023","1,177.20","1,183.40","1,189.95","1,174.50","1,188.30","1,185.35","1,182.74","1,32,628","15,68,65,068.05","8,415","53,419","40.28"
"TATACOMM","EQ","20-Mar-2023","1,185.35","1,180.35","1,184.50","1,169.00","1,179.50","1,180.95","1,178.64","2,42,565","28,58,97,277.10","14,565","1,22,116","50.34"
"TATACOMM","EQ","21-Mar-2023","1,180.95","1,180.95","1,221.85","1,180.95","1,215.00","1,213.85","1,207.74","3,65,958","44,19,82,407.75","21,789","1,35,309","36.97"
"TATACOMM","EQ","22-Mar-2023","1,213.85","1,216.00","1,219.75","1,201.00","1,204.00","1,203.20","1,210.11","97,072","11,74,67,742.35","7,479","25,160","25.92"
"TATACOMM","EQ","23-Mar-2023","1,203.20","1,202.15","1,226.40","1,195.20","1,221.00","1,221.90","1,216.42","2,77,072","33,70,36,773.45","14,566","86,678","31.28"
"TATACOMM","EQ","24-Mar-2023","1,221.90","1,224.00","1,232.95","1,210.10","1,215.45","1,223.20","1,224.71","4,23,363","51,84,96,084.10","18,856","1,38,751","32.77"
"TATACOMM","EQ","27-Mar-2023","1,223.20","1,226.15","1,229.90","1,211.00","1,215.00","1,218.80","1,221.63","2,17,959","26,62,65,558.80","11,955","93,562","42.93"
"TATACOMM","EQ","28-Mar-2023","1,218.80","1,215.50","1,223.75","1,210.85","1,213.00","1,215.25","1,216.75","1,65,820","20,17,62,090.60","13,721","67,014","40.41"
"TATACOMM","EQ","29-Mar-2023","1,215.25","1,210.00","1,234.00","1,210.00","1,230.00","1,229.15","1,224.74","1,92,892","23,62,42,335.05","16,018","78,301","40.59"
"TATACOMM","EQ","31-Mar-2023","1,229.15","1,230.00","1,252.00","1,229.00","1,246.45","1,245.50","1,244.38","2,20,070","27,38,51,755.60","15,908","95,586","43.43"
"TATACOMM","EQ","03-Apr-2023","1,245.50","1,246.45","1,254.00","1,236.20","1,244.20","1,247.55","1,246.51","1,01,136","12,60,67,367.85","8,546","34,076","33.69"
"TATACOMM","EQ","05-Apr-2023","1,247.55","1,244.20","1,276.90","1,240.10","1,269.50","1,270.95","1,265.02","2,04,188","25,83,01,614.80","12,801","61,168","29.96"
"TATACOMM","EQ","06-Apr-2023","1,270.95","1,269.00","1,282.90","1,253.95","1,262.00","1,259.85","1,268.94","1,58,636","20,12,99,842.75","12,567","36,446","22.97"
"TATACOMM","EQ","10-Apr-2023","1,259.85","1,250.65","1,269.95","1,250.65","1,268.35","1,264.85","1,263.26","1,25,483","15,85,18,132.90","7,835","44,496","35.46"
"TATACOMM","EQ","11-Apr-2023","1,264.85","1,270.00","1,286.90","1,265.20","1,276.30","1,278.50","1,279.33","2,34,883","30,04,91,820.85","16,818","93,792","39.93"
"TATACOMM","EQ","12-Apr-2023","1,278.50","1,278.25","1,279.00","1,258.10","1,260.10","1,262.75","1,264.26","1,31,535","16,62,94,577.10","8,088","34,894","26.53"
"TATACOMM","EQ","13-Apr-2023","1,262.75","1,261.00","1,275.40","1,259.90","1,268.00","1,266.05","1,268.06","1,30,255","16,51,70,740.20","11,089","56,557","43.42"
"TATACOMM","EQ","17-Apr-2023","1,266.05","1,266.05","1,266.05","1,232.75","1,245.00","1,244.25","1,247.95","2,05,706","25,67,09,836.90","15,714","58,850","28.61"
"TATACOMM","EQ","18-Apr-2023","1,244.25","1,244.25","1,244.60","1,178.00","1,212.55","1,212.70","1,205.07","10,03,086","1,20,87,87,380.75","43,819","1,66,234","16.57"
"TATACOMM","EQ","19-Apr-2023","1,212.70","1,214.30","1,221.80","1,186.00","1,188.00","1,193.25","1,195.33","6,72,020","80,32,88,200.50","26,754","1,31,761","19.61"
"TATACOMM","EQ","20-Apr-2023","1,193.25","1,179.00","1,248.35","1,172.00","1,226.00","1,232.30","1,214.51","27,06,008","3,28,64,64,973.65","89,223","2,13,823","7.90"
"TATACOMM","EQ","21-Apr-2023","1,232.30","1,229.80","1,245.00","1,200.60","1,241.00","1,240.90","1,228.44","8,09,633","99,45,88,814.10","33,255","1,40,849","17.40"
"TATACOMM","EQ","24-Apr-2023","1,240.90","1,244.00","1,262.35","1,230.05","1,250.00","1,254.10","1,248.60","5,46,831","68,27,75,424.30","28,084","1,35,885","24.85"
"TATACOMM","EQ","25-Apr-2023","1,254.10","1,254.95","1,258.00","1,233.20","1,233.20","1,236.25","1,246.64","3,84,412","47,92,23,489.35","20,282","1,68,387","43.80"
"TATACOMM","EQ","26-Apr-2023","1,236.25","1,231.25","1,247.00","1,220.40","1,242.00","1,244.40","1,235.84","2,84,299","35,13,46,708.75","16,787","57,468","20.21"
"TATACOMM","EQ","27-Apr-2023","1,244.40","1,242.00","1,258.00","1,240.00","1,250.00","1,249.30","1,247.98","3,24,668","40,51,79,049.15","18,528","1,48,131","45.63"
"TATACOMM","EQ","28-Apr-2023","1,249.30","1,259.00","1,278.00","1,255.15","1,269.00","1,269.50","1,270.85","3,87,631","49,26,20,661.05","23,302","1,81,032","46.70"
"TATACOMM","EQ","02-May-2023","1,269.50","1,269.00","1,271.40","1,250.35","1,253.00","1,256.95","1,257.88","2,46,846","31,05,02,634.20","18,204","1,08,808","44.08"
"TATACOMM","EQ","03-May-2023","1,256.95","1,250.10","1,254.05","1,235.00","1,238.00","1,238.30","1,242.36","2,58,337","32,09,48,204.75","12,149","1,18,040","45.69"
"TATACOMM","EQ","04-May-2023","1,238.30","1,240.00","1,249.25","1,230.00","1,236.00","1,234.85","1,238.88","1,97,613","24,48,19,524.85","8,930","1,10,997","56.17"